model_folder,overall_accuracy,top2_overall_accuracy,accuracy_Angry,top2_accuracy_Angry,nll_Angry,accuracy_Contempt,top2_accuracy_Contempt,nll_Contempt,accuracy_Disgust,top2_accuracy_Disgust,nll_Disgust,accuracy_Fear,top2_accuracy_Fear,nll_Fear,accuracy_Happiness,top2_accuracy_Happiness,nll_Happiness,accuracy_Neutral,top2_accuracy_Neutral,nll_Neutral,accuracy_Sadness,top2_accuracy_Sadness,nll_Sadness,accuracy_Surprise,top2_accuracy_Surprise,nll_Surprise
10 Epoch,52.211462967809474,75.37293902119863,28.571428571428573,63.133640552995395,3.1245007779135023,,,,51.22549019607843,63.72549019607843,2.6960167007668865,59.28338762214984,76.2214983713355,1.7883539274390963,67.84810126582279,89.19831223628692,0.9756720881376746,35.44117647058823,61.76470588235294,2.482505072237815,53.76569037656904,74.47698744769875,1.865461213325061,54.10334346504559,84.80243161094225,1.695907469834147
15 Epoch,52.68254383669196,74.1428945302277,30.64516129032258,58.525345622119815,3.3367130499787563,,,,49.26470588235294,62.254901960784316,2.915478306191674,57.65472312703583,75.57003257328991,1.786619381708577,68.52320675105486,89.19831223628692,1.0559940884429746,40.0,63.38235294117647,2.4005402402445135,47.69874476987448,66.10878661087867,2.330298227992841,57.75075987841945,87.8419452887538,1.4266540493175421
20 Epoch,52.89191311175085,75.29442554305156,33.17972350230415,62.672811059907836,3.1688640533620163,,,,49.01960784313726,63.970588235294116,2.961254848349033,53.74592833876221,73.9413680781759,2.116131629400517,65.9915611814346,88.35443037974683,1.1597025176195672,42.5,68.23529411764706,2.2365348483549337,50.41841004184101,68.41004184100419,2.259456202548414,60.790273556231,84.80243161094225,1.510299975335214
25 Epoch,52.5255168803978,74.98037163046322,27.1889400921659,58.755760368663594,3.788553115052297,,,,53.18627450980392,66.66666666666667,2.6899927102255843,59.28338762214984,77.1986970684039,1.8489834004915442,68.69198312236287,89.28270042194093,1.0538443675821332,36.1764705882353,60.44117647058823,2.674416214957364,51.67364016736402,73.43096234309624,2.113740968969078,55.62310030395137,85.41033434650456,1.7209822000920674
30 Epoch,51.97592253336823,75.11122742737503,25.57603686635945,59.90783410138249,3.92438745107417,,,,58.57843137254902,70.83333333333333,2.445365137398367,55.700325732899024,74.9185667752443,2.0995498616288817,66.58227848101266,88.18565400843882,1.1450082106920032,35.0,60.44117647058823,2.7983704969206964,53.76569037656904,75.31380753138075,2.1129620920796555,55.015197568389056,83.58662613981762,1.8212561776075784
35 Epoch,52.55168803978016,74.64014655849255,25.34562211981567,57.142857142857146,4.054600038035499,,,,53.431372549019606,66.91176470588235,2.784400825443787,54.071661237785015,71.66123778501628,2.294743670492519,67.51054852320675,89.0295358649789,1.119094876373487,43.23529411764706,67.20588235294117,2.339940264372205,48.11715481171548,67.15481171548117,2.4467068053148306,57.75075987841945,84.4984802431611,1.6424488582637324
40 Epoch,53.15362470557446,75.66082177440461,27.880184331797235,59.90783410138249,3.7992902684765486,,,,53.6764705882353,66.66666666666667,2.8535481155371,56.67752442996743,76.2214983713355,2.12072478739557,67.51054852320675,88.35443037974683,1.1546300472855213,40.0,64.55882352941177,2.4873949795526507,53.13807531380753,75.31380753138075,2.0454780001187847,58.05471124620061,84.80243161094225,1.6651312805205811
5 Epoch,53.67704789322167,76.68149699031667,26.95852534562212,69.5852534562212,2.854914609897094,,,,59.31372549019608,71.81372549019608,1.8437812182151259,50.4885993485342,66.44951140065146,2.1242823557912467,68.94514767932489,89.45147679324894,0.8892837137065174,37.94117647058823,63.38235294117647,2.091672417044003,55.43933054393305,75.52301255230125,1.6101230772456996,59.878419452887535,84.80243161094225,1.2699552253602564
Best-Epoch,56.13713687516357,79.71735147867051,36.866359447004605,79.26267281105991,1.7075538384977058,,,,61.51960784313726,73.52941176470588,1.4182183801414223,52.11726384364821,69.70684039087948,1.5912118465165648,65.31645569620254,87.0886075949367,0.9111785174397686,46.911764705882355,72.3529411764706,1.432188591622638,58.15899581589958,80.1255230125523,1.1532231408156983,61.702127659574465,85.41033434650456,0.9751155242885783
Epoch-Final,53.15362470557446,75.66082177440461,27.880184331797235,59.90783410138249,3.7992902684765486,,,,53.6764705882353,66.66666666666667,2.8535481155371,56.67752442996743,76.2214983713355,2.12072478739557,67.51054852320675,88.35443037974683,1.1546300472855213,40.0,64.55882352941177,2.4873949795526507,53.13807531380753,75.31380753138075,2.0454780001187847,58.05471124620061,84.80243161094225,1.6651312805205811
