class_name,precision,recall,f1-score,support,value
Angry,0.4518229166666667,0.7995391705069125,0.5773710482529119,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.6651162790697674,0.35049019607843135,0.4590690208667737,408.0,
Fear,0.5,0.6872964169381107,0.578875171467764,307.0,
Happiness,0.9238625812441968,0.8396624472573839,0.8797524314765695,1185.0,
Neutral,0.7756653992395437,0.6,0.6766169154228856,680.0,
Sadness,0.647244094488189,0.8598326359832636,0.738544474393531,478.0,
Surprise,0.7923076923076923,0.3130699088145897,0.44880174291938996,329.0,
accuracy,,,,,0.6851609526302015
macro avg,0.594502370377007,0.5562363469473364,0.5448788505999782,3821.0,
weighted avg,0.7362575571540556,0.6851609526302015,0.6853912690562406,3821.0,
