class_name,precision,recall,f1-score,support,value
Angry,0.38860103626943004,0.7978723404255319,0.5226480836236934,94.0,
Contempt,1.0,0.011494252873563218,0.022727272727272728,87.0,
Disgust,1.0,0.07446808510638298,0.13861386138613863,94.0,
Fear,0.6821705426356589,0.7457627118644068,0.7125506072874493,118.0,
Happiness,0.7021276595744681,1.0,0.825,99.0,
Neutral,0.2974683544303797,0.5595238095238095,0.3884297520661157,84.0,
Sadness,0.8333333333333334,0.6578947368421053,0.7352941176470589,114.0,
Surprise,0.9322033898305084,0.625,0.7482993197278912,88.0,
accuracy,,,,,0.5745501285347043
macro avg,0.7294880395092223,0.5590019920794749,0.5116953768082024,778.0,
weighted avg,0.7320777632589244,0.5745501285347043,0.5298121284569265,778.0,
