class_name,precision,recall,f1-score,support,value
Angry,0.5338983050847458,0.14516129032258066,0.22826086956521738,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.26512968299711814,0.6764705882352942,0.38095238095238093,408.0,
Fear,0.5756302521008403,0.44625407166123776,0.5027522935779817,307.0,
Happiness,0.9565217391304348,0.4084388185654008,0.5724423418095801,1185.0,
Neutral,0.5107142857142857,0.42058823529411765,0.4612903225806452,680.0,
Sadness,0.662004662004662,0.5941422594142259,0.6262403528114664,478.0,
Surprise,0.3859060402684564,0.6990881458966566,0.4972972972972973,329.0,
accuracy,,,,,0.46061240512954726
macro avg,0.4862256209125679,0.4237679261736892,0.4086544823243211,3821.0,
weighted avg,0.6387774282403538,0.46061240512954726,0.4877817421623133,3821.0,
