class_name,precision,recall,f1-score,support,value
Angry,0.496551724137931,0.7659574468085106,0.602510460251046,94.0,
Contempt,0.2413793103448276,0.16091954022988506,0.19310344827586207,87.0,
Disgust,0.7727272727272727,0.3617021276595745,0.4927536231884058,94.0,
Fear,0.7567567567567568,0.711864406779661,0.7336244541484717,118.0,
Happiness,0.8839285714285714,1.0,0.9383886255924171,99.0,
Neutral,0.3162393162393162,0.44047619047619047,0.3681592039800995,84.0,
Sadness,0.8130841121495327,0.7631578947368421,0.7873303167420814,114.0,
Surprise,0.8452380952380952,0.8068181818181818,0.8255813953488372,88.0,
accuracy,,,,,0.6401028277634961
macro avg,0.640738144877788,0.6263619735636057,0.6176814409409026,778.0,
weighted avg,0.6564975518048287,0.6401028277634961,0.6331043385605408,778.0,
