Emotion,Gender,Accuracy,TotalImages,Timestamp,Folder
Angry,Unknown,99.53703703703704,432,20250311_204808,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\angry_men_proc
Angry,Unknown,59.175257731958766,485,20250311_205542,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\angry_women_proc
Contempt,Unknown,2.569593147751606,467,20250311_204917,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\contempt_men_proc
Contempt,Unknown,1.21580547112462,329,20250311_205628,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\contempt_women_proc
Disgust,Unknown,6.497175141242938,354,20250311_205007,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\disgust_men_proc
Disgust,Unknown,6.309751434034417,523,20250311_205659,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\disgust_women_proc
Fear,Unknown,76.86274509803921,510,20250311_205157,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\fear_men_proc
Fear,Unknown,72.43066884176183,613,20250311_205737,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\fear_women_proc
Happiness,Unknown,99.68553459119497,318,20250311_205232,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\happy_men_proc
Happiness,Unknown,99.77064220183486,436,20250311_205829,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\happy_women_proc
Neutral,Unknown,37.76223776223776,429,20250311_205257,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\neutral_men_proc
Neutral,Unknown,76.98630136986301,365,20250311_205901,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\neutral_women_proc
Sadness,Unknown,82.33618233618233,351,20250311_205410,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\sad_men_proc
Sadness,Unknown,65.83679114799446,723,20250311_205929,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\sad_women_proc
Surprise,Unknown,72.76887871853548,437,20250311_205442,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\men\surprised_men_proc
Surprise,Unknown,51.28865979381443,388,20250311_210458,C:\Users\ilias\Python\Thesis-Project\data\synthetic\processed_python\women\surprised_women_proc
